sheet 1,sheet 2
-0.19401,1.1093
-0.19035,1.10632
-0.18662,1.10327
-0.18279,1.10015
-0.17887,1.09704
-0.17485,1.09397
-0.17073,1.09082
-0.1665,1.08759
-0.16217,1.08428
-0.15772,1.08095
-0.15315,1.07769
-0.14846,1.07435
-0.14364,1.0709
-0.13868,1.06736
-0.13359,1.06395
-0.12836,1.06048
-0.12297,1.05691
-0.11741,1.05323
-0.11172,1.04972
-0.10585,1.04614
-0.0998,1.04244
-0.09358,1.03875
-0.08721,1.0352
-0.08063,1.03153
-0.07384,1.02781
-0.06693,1.02434
-0.05978,1.02075
-0.05244,1.01719
-0.04497,1.01386
-0.03724,1.01042
-0.02941,1.00726
-0.02137,1.00417
-0.01315,1.00116
-0.00486,0.9985
0.00368,0.99581
0.01218,0.99367
0.02095,0.99147
0.02957,0.98995
0.03842,0.98842
0.04707,0.98762
0.05585,0.98695
0.06442,0.98695
0.07293,0.9873
0.08128,0.98818
0.08933,0.9897
0.09729,0.99155
0.10469,0.9943
0.11187,0.99745
0.11868,1.00116
0.1249,1.00562
0.13083,1.01045
0.13612,1.01598
0.1409,1.02203
0.14532,1.02837
0.1489,1.03546
0.15212,1.04278
0.15479,1.05047
0.15684,1.05855
0.15862,1.06668
0.15958,1.07531
0.16035,1.08388
0.1605,1.09271
0.16039,1.10151
0.15982,1.1104
0.15899,1.11924
0.15778,1.12808
0.15639,1.1368
0.15463,1.14551
0.15286,1.15398
0.15062,1.16248
0.14847,1.17069
0.146,1.17884
0.14347,1.18679
0.14096,1.19451
0.13813,1.20216
0.13538,1.20956
0.13262,1.21676
0.12964,1.22384
0.12676,1.2307
0.12394,1.23734
0.12088,1.24389
0.11791,1.25023
0.11504,1.25637
0.11208,1.26237
0.10907,1.26823
0.10615,1.27391
0.10332,1.27943
0.10041,1.28482
0.09748,1.29008
0.09463,1.29519
0.09185,1.30016
0.08912,1.305
0.08627,1.30975
0.08349,1.31437
0.08078,1.31887
0.07813,1.32327
0.07555,1.32756
0.07284,1.33176
0.24353,1.33586
0.25011,1.34306
0.25691,1.35049
0.26387,1.35819
0.27051,1.36612
0.27738,1.37432
0.28427,1.38278
0.29089,1.39149
0.29774,1.4005
0.30421,1.40973
0.3107,1.41924
0.31705,1.42901
0.32305,1.439
0.32905,1.44927
0.33442,1.45967
0.33981,1.47037
0.34442,1.48112
0.34892,1.49212
0.3526,1.50312
0.35593,1.51426
0.35854,1.52538
0.36044,1.53647
0.36183,1.54757
0.36207,1.55838
0.36184,1.56916
0.36054,1.5796
0.35839,1.58975
0.35567,1.59971
0.35155,1.60901
0.34687,1.61803
0.34138,1.62658
0.33482,1.63448
0.32778,1.64201
0.31978,1.64884
0.31116,1.65512
0.30214,1.66097
0.29221,1.66599
0.28215,1.67068
0.27142,1.67462
0.26051,1.67814
0.2493,1.68112
0.23785,1.68359
0.22633,1.68567
0.21463,1.68723
0.20297,1.68847
0.19127,1.6893
0.17961,1.68978
0.1681,1.69003
0.15657,1.68985
0.1454,1.68967
0.13409,1.68893
0.12314,1.68819
0.11238,1.68726
0.1017,1.68603
0.09138,1.68484
0.08119,1.68342
0.07118,1.68182
0.0615,1.68028
0.05199,1.67859
0.04264,1.67671
0.03357,1.67489
0.02478,1.67313
0.01605,1.67105
0.00758,1.66902
-0.00064,1.66704
-0.00864,1.6651
-0.01656,1.6629
-0.02425,1.66077
-0.03174,1.6587
-0.03902,1.65668
-0.04619,1.65451
-0.05321,1.65231
-0.06005,1.65017
-0.06672,1.64807
-0.07323,1.64603
-0.07964,1.64385
-0.08592,1.64166
-0.09206,1.63953
-0.09807,1.63743
-0.10395,1.63538
-0.10972,1.63334
-0.1154,1.63117
-0.12097,1.62903
-0.12643,1.62694
-0.13179,1.62489
-0.13706,1.62287
-0.14224,1.62089
-0.14734,1.61878
-0.15236,1.61669
-0.1573,1.61463
-0.16217,1.6126
-0.16697,1.6106
-0.1717,1.60862
-0.17636,1.60668
-0.18096,1.60463
-0.18551,1.60258
-0.18999,1.60056
-0.19443,1.59856
-0.19881,1.59658
-0.20315,1.59462
-0.20745,1.59268
-0.21172,1.59075
-0.21592,1.58871
-0.22008,1.58669
-0.22421,1.58468
-0.22831,1.58269
-0.23238,1.58071
-0.23643,1.57875
-0.24045,1.57679
-0.24446,1.57484
-0.24842,1.57282
-0.25235,1.57078
-0.25626,1.56874
-0.26016,1.56671
-0.26405,1.56468
-0.26793,1.56266
-0.2718,1.56064
-0.27568,1.55863
-0.27954,1.55661
-0.28335,1.55448
-0.28717,1.55236
-0.29098,1.55024
-0.2948,1.54811
-0.29862,1.54598
-0.30246,1.54385
-0.3063,1.5417
-0.31016,1.53956
-0.31401,1.53736
-0.31783,1.53509
-0.32166,1.53281
-0.32551,1.53053
-0.32939,1.52822
-0.33329,1.52591
-0.33722,1.52357
-0.34117,1.52122
-0.34516,1.51885
-0.34909,1.51637
-0.35305,1.51386
-0.35705,1.51133
-0.36108,1.50877
-0.36516,1.50619
-0.36929,1.50358
-0.37346,1.50094
-0.37766,1.49825
-0.38182,1.49545
-0.38603,1.49261
-0.3903,1.48973
-0.39462,1.48682
-0.39902,1.48386
-0.40348,1.48085
-0.408,1.47779
-0.41245,1.47459
-0.41698,1.47134
-0.42159,1.46804
-0.42628,1.46467
-0.43105,1.46124
-0.43593,1.45775
-0.44077,1.45412
-0.44564,1.45039
-0.45062,1.44658
-0.4557,1.4427
-0.4609,1.43872
-0.46621,1.43465
-0.47141,1.4304
-0.47674,1.42606
-0.48219,1.42161
-0.48778,1.41704
-0.49351,1.41236
-0.4991,1.40748
-0.50484,1.40247
-0.51073,1.39732
-0.5168,1.39203
-0.52282,1.38655
-0.52886,1.38088
-0.53508,1.37505
-0.5415,1.36905
-0.54781,1.36283
-0.55418,1.3564
-0.56074,1.34978
-0.56743,1.34293
-0.5739,1.33586
-0.58058,1.32856
-0.58747,1.32101
-0.59399,1.31323
-0.60072,1.30519
-0.60757,1.29689
-0.61406,1.28836
-0.62076,1.27955
-0.62725,1.2705
-0.63359,1.26119
-0.64001,1.2516
-0.64588,1.24184
-0.65193,1.23176
-0.65726,1.22156
-0.66267,1.21107
-0.66734,1.2005
-0.67197,1.18968
-0.67571,1.17885
-0.67939,1.1678
-0.68195,1.15689
-0.68427,1.14583
-0.68565,1.13492
-0.68638,1.12407
-0.68645,1.11331
-0.6854,1.1029
-0.68383,1.0926
-0.68114,1.08274
-0.67763,1.07322
-0.67353,1.06397
-0.66809,1.05543
-0.66212,1.04721
-0.65536,1.03952
-0.64766,1.03249
-0.63957,1.02583
-0.63051,1.01996
-0.62105,1.01455
-0.61114,1.00967
-0.6006,1.00548
-0.59002,1.00159
-0.57872,0.99854
-0.56757,0.99569
-0.55591,0.99359
